18.7985 	EXP 	text_ans_quest_left: autoDraw = True
22.5688 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'ImageFile': 'img22.png', 'LabelText': 'ВАЛЕНОНЕ-МАЛЕНОНЕ', 'QuestionType': 'Перцептивный', 'QuestionText': 'Слово написано большими буквами?', 'CorrectAnswer_congr': 'right', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
22.5736 	DATA 	Keypress: right
22.5773 	EXP 	text_ans_quest_right: autoDraw = False
22.5773 	EXP 	text_ans_quest_left: autoDraw = False
22.5773 	EXP 	text: height = 0.05
22.5773 	EXP 	text: height = 0.05
22.5773 	EXP 	text: height = 0.05
22.5773 	EXP 	text: text = 'Слово написано большими буквами?'
22.5773 	EXP 	text: autoDraw = True
22.5773 	EXP 	text_2: autoDraw = True
23.0655 	INFO 	Keyboard events cleared
27.8572 	DATA 	Keypress: space
27.8598 	EXP 	text: autoDraw = False
27.8598 	EXP 	text_2: autoDraw = False
27.8598 	EXP 	image_1: image = 'img22.png'
27.8598 	EXP 	text_label_1: height = 0.05
27.8598 	EXP 	text_label_1: height = 0.05
27.8598 	EXP 	text_label_1: height = 0.05
27.8598 	EXP 	text_label_1: text = 'ВАЛЕНОНЕ-МАЛЕНОНЕ'
27.8598 	EXP 	image_1: autoDraw = True
27.8598 	EXP 	text_label_1: autoDraw = True
30.2586 	DATA 	Keypress: space
30.3489 	INFO 	Keyboard events cleared
30.3487 	EXP 	image_1: autoDraw = False
30.3487 	EXP 	text_label_1: autoDraw = False
30.3487 	EXP 	text_ans_quest_right: autoDraw = True
30.3487 	EXP 	text_ans_quest_left: autoDraw = True
31.1347 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'ImageFile': 'img2.png', 'LabelText': 'ПАЛЕВИНО-ТАЛЕВИНО', 'QuestionType': 'Фонологический', 'QuestionText': 'Слово рифмуется с "облакино"?', 'CorrectAnswer_congr': 'right', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
31.1403 	DATA 	Keypress: right
31.1434 	EXP 	text_ans_quest_right: autoDraw = False
31.1434 	EXP 	text_ans_quest_left: autoDraw = False
31.1434 	EXP 	text: height = 0.05
31.1434 	EXP 	text: height = 0.05
31.1434 	EXP 	text: height = 0.05
31.1434 	EXP 	text: text = 'Слово рифмуется с "облакино"?'
31.1434 	EXP 	text: autoDraw = True
31.1434 	EXP 	text_2: autoDraw = True
31.6320 	INFO 	Keyboard events cleared
33.7040 	DATA 	Keypress: space
33.7067 	EXP 	text: autoDraw = False
33.7067 	EXP 	text_2: autoDraw = False
33.7067 	EXP 	image_1: image = 'img2.png'
33.7067 	EXP 	text_label_1: height = 0.05
33.7067 	EXP 	text_label_1: height = 0.05
33.7067 	EXP 	text_label_1: height = 0.05
33.7067 	EXP 	text_label_1: text = 'ПАЛЕВИНО-ТАЛЕВИНО'
33.7067 	EXP 	image_1: autoDraw = True
33.7067 	EXP 	text_label_1: autoDraw = True
35.5089 	DATA 	Keypress: right
35.9532 	DATA 	Keypress: space
36.1988 	INFO 	Keyboard events cleared
36.1986 	EXP 	image_1: autoDraw = False
36.1986 	EXP 	text_label_1: autoDraw = False
36.1986 	EXP 	text_ans_quest_right: autoDraw = True
36.1986 	EXP 	text_ans_quest_left: autoDraw = True
36.9015 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'ImageFile': 'img4.png', 'LabelText': 'СИЛЬВЕСТЕТТО-ДИЛЬВЕСТЕТТО', 'QuestionType': 'Перцептивный', 'QuestionText': 'Слово написано большими буквами?', 'CorrectAnswer_congr': 'right', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
36.9055 	DATA 	Keypress: right
36.9087 	EXP 	text_ans_quest_right: autoDraw = False
36.9087 	EXP 	text_ans_quest_left: autoDraw = False
36.9087 	EXP 	text: height = 0.05
36.9087 	EXP 	text: height = 0.05
36.9087 	EXP 	text: height = 0.05
36.9087 	EXP 	text: text = 'Слово написано большими буквами?'
36.9087 	EXP 	text: autoDraw = True
36.9087 	EXP 	text_2: autoDraw = True
37.3987 	INFO 	Keyboard events cleared
39.6046 	DATA 	Keypress: space
39.6072 	EXP 	text: autoDraw = False
39.6072 	EXP 	text_2: autoDraw = False
39.6072 	EXP 	image_1: image = 'img4.png'
39.6072 	EXP 	text_label_1: height = 0.05
39.6072 	EXP 	text_label_1: height = 0.05
39.6072 	EXP 	text_label_1: height = 0.05
39.6072 	EXP 	text_label_1: text = 'СИЛЬВЕСТЕТТО-ДИЛЬВЕСТЕТТО'
39.6072 	EXP 	image_1: autoDraw = True
39.6072 	EXP 	text_label_1: autoDraw = True
42.0987 	INFO 	Keyboard events cleared
42.0985 	EXP 	image_1: autoDraw = False
42.0985 	EXP 	text_label_1: autoDraw = False
42.0985 	EXP 	text_ans_quest_right: autoDraw = True
42.0985 	EXP 	text_ans_quest_left: autoDraw = True
43.5515 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'ImageFile': 'img8.png', 'LabelText': 'ТАРЕМАТТО-КАРЕМАТТО', 'QuestionType': 'Фонологический', 'QuestionText': 'Слово рифмуется с  "ветератто"?', 'CorrectAnswer_congr': 'right', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
43.5575 	DATA 	Keypress: left
43.5611 	EXP 	text_ans_quest_right: autoDraw = False
43.5611 	EXP 	text_ans_quest_left: autoDraw = False
43.5611 	EXP 	text: height = 0.05
43.5611 	EXP 	text: height = 0.05
43.5611 	EXP 	text: height = 0.05
43.5611 	EXP 	text: text = 'Слово рифмуется с  "ветератто"?'
43.5611 	EXP 	text: autoDraw = True
43.5611 	EXP 	text_2: autoDraw = True
44.0488 	INFO 	Keyboard events cleared
46.7216 	DATA 	Keypress: space
46.7246 	EXP 	text: autoDraw = False
46.7246 	EXP 	text_2: autoDraw = False
46.7246 	EXP 	image_1: image = 'img8.png'
46.7246 	EXP 	text_label_1: height = 0.05
46.7246 	EXP 	text_label_1: height = 0.05
46.7246 	EXP 	text_label_1: height = 0.05
46.7246 	EXP 	text_label_1: text = 'ТАРЕМАТТО-КАРЕМАТТО'
46.7246 	EXP 	image_1: autoDraw = True
46.7246 	EXP 	text_label_1: autoDraw = True
48.0692 	DATA 	Keypress: right
49.2155 	INFO 	Keyboard events cleared
49.2153 	EXP 	image_1: autoDraw = False
49.2153 	EXP 	text_label_1: autoDraw = False
49.2153 	EXP 	text_ans_quest_right: autoDraw = True
49.2153 	EXP 	text_ans_quest_left: autoDraw = True
49.6013 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'ImageFile': 'img13.png', 'LabelText': 'миралино-киралино', 'QuestionType': 'Перцептивный', 'QuestionText': 'Слово написано большими буквами?', 'CorrectAnswer_congr': 'left', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
49.6056 	DATA 	Keypress: right
49.6093 	EXP 	text_ans_quest_right: autoDraw = False
49.6093 	EXP 	text_ans_quest_left: autoDraw = False
49.6093 	EXP 	text: height = 0.05
49.6093 	EXP 	text: height = 0.05
49.6093 	EXP 	text: height = 0.05
49.6093 	EXP 	text: text = 'Слово написано большими буквами?'
49.6093 	EXP 	text: autoDraw = True
49.6093 	EXP 	text_2: autoDraw = True
50.0985 	INFO 	Keyboard events cleared
52.6263 	DATA 	Keypress: space
52.6289 	EXP 	text: autoDraw = False
52.6289 	EXP 	text_2: autoDraw = False
52.6289 	EXP 	image_1: image = 'img13.png'
52.6289 	EXP 	text_label_1: height = 0.05
52.6289 	EXP 	text_label_1: height = 0.05
52.6289 	EXP 	text_label_1: height = 0.05
52.6289 	EXP 	text_label_1: text = 'миралино-киралино'
52.6289 	EXP 	image_1: autoDraw = True
52.6289 	EXP 	text_label_1: autoDraw = True
53.9356 	DATA 	Keypress: left
54.4859 	DATA 	Keypress: space
55.0987 	INFO 	Keyboard events cleared
55.0985 	EXP 	image_1: autoDraw = False
55.0985 	EXP 	text_label_1: autoDraw = False
55.0985 	EXP 	text_ans_quest_right: autoDraw = True
55.0985 	EXP 	text_ans_quest_left: autoDraw = True
55.4905 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'ImageFile': 'img14.png', 'LabelText': 'БЕРЕНДИНО-ФЕРЕНДИНО', 'QuestionType': 'Фонологический', 'QuestionText': 'Слово рифмуется с "ветеритто"?', 'CorrectAnswer_congr': 'left', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
55.4947 	DATA 	Keypress: left
55.4985 	EXP 	text_ans_quest_right: autoDraw = False
55.4985 	EXP 	text_ans_quest_left: autoDraw = False
55.4985 	EXP 	text: height = 0.05
55.4985 	EXP 	text: height = 0.05
55.4985 	EXP 	text: height = 0.05
55.4985 	EXP 	text: text = 'Слово рифмуется с "ветеритто"?'
55.4985 	EXP 	text: autoDraw = True
55.4985 	EXP 	text_2: autoDraw = True
55.9879 	INFO 	Keyboard events cleared
60.3022 	DATA 	Keypress: space
60.3049 	EXP 	text: autoDraw = False
60.3049 	EXP 	text_2: autoDraw = False
60.3049 	EXP 	image_1: image = 'img14.png'
60.3049 	EXP 	text_label_1: height = 0.05
60.3049 	EXP 	text_label_1: height = 0.05
60.3049 	EXP 	text_label_1: height = 0.05
60.3049 	EXP 	text_label_1: text = 'БЕРЕНДИНО-ФЕРЕНДИНО'
60.3049 	EXP 	image_1: autoDraw = True
60.3049 	EXP 	text_label_1: autoDraw = True
62.7986 	INFO 	Keyboard events cleared
62.7984 	EXP 	image_1: autoDraw = False
